SORT	ORIG	DEST	Distance
553	PHX	SAN	305
554	SAN	PHX	305
555	PHX	TUS	111
557	TUS	ATL	1542
558	ATL	ZRH	4691
559	ZRH	ATL	4691
560	ATL	TUS	1542
562	LGA	DFW	1389
563	DFW	SAN	1171
564	SAN	DFW	1171
565	DFW	LGA	1389
567	SFO	BOS	2705
568	BOS	SFO	2705
570	TUS	DFW	814
571	DFW	PHL	1303
572	PHL	DFW	1303
573	DFW	TUS	814
577	TUS	DFW	814
578	DFW	CLT	936
579	CLT	DFW	936
580	DFW	TUS	814
582	TUS	CLT	1735
583	CLT	TUS	1735
587	TUS	LAS	365
588	LAS	TUS	365
590	SEA	LAX	954
591	LAX	TUS	452
592	TUS	SEA	1216
596	TUS	LAS	365
597	LAS	TUS	365
601	CDG	IAH	5027
602	IAH	TUS	936
603	TUS	IAH	936
604	IAH	CDG	5027
605	CDG	NCE	432
606	NCE	CDG	432
608	CDG	EWR	3649
609	EWR	CLE	405
610	CLE	IAH	1091
611	IAH	TUS	936
612	TUS	IAH	936
613	IAH	CDG	5027
614	CDG	NCE	432
615	NCE	CDG	432
617	PHX	SBA	455
618	SBA	PHX	455
622	TUS	ATL	1542
623	ATL	BWI	577
624	BWI	ATL	577
625	ATL	TUS	1542
627	TUS	SLC	601
628	SLC	TUS	601
630	TUS	SLC	601
631	SLC	TUS	601
635	YVR	PHL	2411
636	PHL	RDU	337
637	RDU	MSP	981
638	MSP	YVR	1436
640	TUS	DEN	639
641	DEN	MUC	5226
642	MUC	ATH	944
643	ATH	KBP	923
644	FRA	DEN	5040
645	DEN	TUS	639
647	SKP	VIE	492
648	VIE	KBP	666
650	YVR	PHX	1231
651	PHX	TUS	111
655	TUS	ATL	1542
656	ATL	TUS	1542
660	PHX	IND	1489
661	IND	PHX	1489
665	TUS	MSP	1298
666	MSP	IND	503
667	IND	MSP	503
668	MSP	TUS	1298
670	TUS	MSP	1298
671	MSP	IND	503
672	IND	MSP	503
673	MSP	TUS	1298
677	IAH	TUS	936
678	TUS	IAH	936
680	TUS	SAN	368
681	SAN	TUS	368
683	TUS	SAN	368
684	SAN	TUS	368
686	TUS	LAS	365
687	LAS	TUS	365
689	TUS	LAS	365
690	LAS	TUS	365
694	TUS	IAH	936
695	IAH	TUS	936
697	TUS	LAX	452
698	LAX	HNL	2556
699	HNL	LAX	2556
700	LAX	TUS	452
702	TUS	IAH	936
703	IAH	EWR	1400
704	EWR	TXL	3980
705	TXL	TUS	5706
707	TUS	LAX	452
708	LAX	SJC	308
709	SJC	PHX	622
710	PHX	TUS	111
714	PHX	IAH	1009
715	IAH	CLL	74
717	PHX	IAH	1009
718	IAH	CLL	74
722	TUS	LAX	452
723	LAX	OAK	338
724	OAK	TUS	748
726	TUS	LAX	452
727	LAX	OAK	338
728	OAK	TUS	748
730	TUS	LAX	452
731	LAX	OAK	338
732	OAK	TUS	748
734	DEN	BNA	1014
735	BNA	DEN	1014
736	DEN	TUS	639
737	TUS	DEN	639
741	TUS	MSP	1298
742	MSP	MKE	298
743	MKE	MSP	298
744	MSP	TUS	1298
746	TUS	DFW	814
747	DFW	AUS	190
748	AUS	DFW	190
749	DFW	TUS	814
751	TUS	LAS	365
752	LAS	PDX	763
753	PDX	SJC	569
754	SJC	TUS	722
756	TUS	ATL	1542
757	ATL	ROC	750
758	ROC	EWR	247
759	EWR	TUS	2117
761	TUS	PHX	111
762	PHX	PDX	1010
763	PDX	PHX	1010
764	PHX	TUS	111
766	TUS	SLC	601
767	SLC	SAN	626
768	SAN	PHX	305
769	PHX	TUS	111
771	TUS	PHX	111
772	PHX	ABQ	329
773	ABQ	PHX	329
774	PHX	TUS	111
776	TUS	PHX	111
777	PHX	MKE	1461
778	MKE	PHX	1461
779	PHX	TUS	111
781	ABQ	TUS	321
785	TUS	PHX	111
786	PHX	DCA	1979
787	DCA	PHX	1979
788	PHX	TUS	111
790	TUS	IAH	936
791	IAH	CLT	913
792	CLT	IAH	913
793	IAH	TUS	936
795	TUS	ABQ	321
796	ABQ	TUS	321
798	TUS	ABQ	321
799	ABQ	TUS	321
801	TUS	LAS	365
802	LAS	SNA	227
803	SNA	TUS	417
805	LAX	TUS	452
807	TUS	DEN	639
808	DEN	TUS	639
810	DCA	ATL	548
811	ATL	TUS	1542
812	TUS	ATL	1542
813	ATL	DCA	548
815	TUS	DEN	639
816	DEN	IND	977
824	TUS	ORD	1437
825	ORD	TUS	1437
827	TUS	DFW	814
828	DFW	ORD	802
829	ORD	DEN	889
830	DEN	TUS	639
834	TUS	PHX	111
835	PHX	MRY	599
836	MRY	PHX	599
837	PHX	TUS	111
849	TUS	ATL	1542
850	ATL	BWI	577
851	BWI	DFW	1217
852	DFW	TUS	814
854	SAN	TUS	368
855	TUS	LAX	452
857	SFO	CIC	153
858	CIC	SFO	153
859	SFO	TUS	752
860	TUS	SFO	752
864	TUS	SAN	368
865	SAN	TUS	368
867	TUS	SFO	752
868	SFO	TUS	752
