SORT	ORIG	DEST	CO2_Emissions(tons_per_passenger)
10968	TPA	DFW	0.394
10969	DFW	TUS	0.366
10970	TUS	DFW	0.366
10971	DFW	TPA	0.394
10975	TUS	ORD	0.849
10976	ORD	ROC	0.266
10977	SFO	LAX	0.204
10978	LAX	TUS	0.241
10979	ROC	ORD	0.266
10980	ORD	SFO	1.1
10982	TUS	ORD	0.849
10983	ORD	LHR	2.3
10984	LHR	MUC	0.285
10985	MUC	LHR	0.285
10986	LHR	DFW	2.7
10987	DFW	TUS	0.366
10991	SMF	TUS	0.341
10992	TUS	SAN	0.213
10993	SAN	SMF	0.251
10999	TUS	LAS	0.213
11000	LAS	BWI	1.2
11001	BWI	LAS	1.2
11002	LAS	TUS	0.213
11004	LAX	TUS	0.241
11006	TUS	DFW	0.366
11007	DFW	SAN	0.625
11009	TUS	ORD	0.849
11010	ORD	TUS	0.849
11012	TUS	SLC	0.291
11013	SLC	BOI	0.189
11014	BOI	SLC	0.189
11015	SLC	TUS	0.291
11019	TUS	LAX	0.241
11021	TUS	SJC	0.33
11022	SJC	SAN	0.23
11023	SAN	TUS	0.213
11025	SAN	TUS	0.213
11027	SAN	TUS	0.213
11028	TUS	SAN	0.213
11050	LAX	TUS	0.241
11052	PHX	LAX	0.214
11054	TUS	SAN	0.213
11055	SAN	TUS	0.213
11057	LAX	TUS	0.241
11065	LAX	TUS	0.241
11067	YYC	DEN	0.389
11068	DEN	TUS	0.299
11069	TUS	DEN	0.299
11070	DEN	YYC	0.389
11072	TUS	DEN	0.299
11074	TUS	DEN	0.299
11075	DEN	TUS	0.299
11077	TUS	LAX	0.241
11078	LAX	SBP	0.146
11080	STL	DFW	0.273
11081	DFW	TUS	0.366
11083	ORD	TUS	0.849
11085	TUS	DFW	0.366
11086	DFW	TUL	0.173
11087	TUL	DFW	0.173
11088	DFW	TUS	0.366
11090	TUS	SLC	0.291
11092	LAS	DFW	0.524
11093	DFW	TUS	0.366
11095	PHX	TUS	0.13
11096	TUS	PHX	0.13
11097	PHX	SNA	0.204
11098	SNA	PHX	0.204
11100	TUS	PHX	0.13
11101	PHX	STL	0.7
11105	TUS	LAS	0.213
11106	LAS	RNO	0.206
11107	RNO	LAS	0.206
11108	LAS	TUS	0.213
11110	SAN	TUS	0.213
11112	TUS	SAN	0.213
11113	SAN	TUS	0.213
11115	TUS	LAX	0.241
11117	LAX	TUS	0.241
11119	TUS	SAN	0.213
11120	SAN	TUS	0.213
11122	DEN	TUS	0.299
11154	TUS	ATL	0.939
11155	ATL	PVD	0.391
11157	RSW	ATL	0.263
11158	ATL	TUS	0.939
11160	IND	MSP	0.258
11161	MSP	TUS	0.726
11162	TUS	MSP	0.726
11163	MSP	IND	0.258
11191	OAK	TUS	0.339
11192	TUS	OAK	0.339
11194	PVD	TUS	1.3
11196	LAX	TUS	0.241
11198	TUS	IAH	0.404
11199	IAH	RSW	0.376
11201	HNL	LAX	1.5
11202	LAX	TUS	0.241
11203	TUS	LAX	0.241
11204	LAX	HNL	1.5
11206	TUS	LAX	0.241
11207	LAX	YVR	0.534
11209	PDX	PHX	0.47
11210	PHX	TUS	0.13
11211	TUS	PHX	0.13
11212	PHX	PDX	0.47
11214	DFW	PHX	0.384
11215	PHX	TUS	0.13
11216	TUS	PHX	0.13
11217	PHX	DFW	0.384
11219	PSP	PHX	0.178
11220	PHX	TUS	0.13
11221	TUS	PHX	0.13
11222	PHX	PSP	0.178
11224	DCA	PHX	1.2
11225	PHX	TUS	0.13
11226	TUS	PHX	0.13
11227	PHX	DCA	1.2
11229	YVR	PHX	0.665
11230	PHX	TUS	0.13
11232	PDX	PHX	0.47
11233	PHX	TUS	0.13
11234	TUS	PHX	0.13
11235	PHX	PDX	0.47
11237	PDX	LAX	0.368
11238	LAX	TUS	0.241
11239	TUS	PHX	0.13
11240	PHX	PDX	0.47
11242	SFO	LAX	0.204
11243	LAX	TUS	0.241
11245	SFO	LAX	0.204
11246	LAX	TUS	0.241
11248	TUS	SLC	0.291
11249	SLC	LWS	0.245
11251	TUS	SLC	0.291
11252	SLC	LWS	0.245
11254	TUS	SLC	0.291
11255	SLC	LWS	0.245
11257	TUS	SLC	0.291
11258	SLC	LWS	0.245
11260	TUS	SLC	0.291
11261	SLC	LWS	0.245
11263	MCI	PHX	0.499
11264	PHX	TUS	0.13
11265	TUS	DEN	0.299
11266	DEN	MCI	0.271
11268	TUS	PHX	0.13
11269	PHX	PDX	0.47
11270	PDX	PHX	0.47
11271	PHX	TUS	0.13
11273	TUS	PHX	0.13
11274	PHX	FAT	0.255
11276	ATL	PHX	0.968
11277	PHX	TUS	0.13
11278	TUS	PHX	0.13
11279	PHX	ATL	0.968
11281	TUS	SAN	0.213
11282	SAN	TUS	0.213
11284	TUS	SFO	0.34
11286	TUS	SFO	0.34
11288	TUS	SMF	0.341
11290	TUS	OAK	0.339
11292	TUS	LAX	0.241
11293	LAX	TUS	0.241
11295	SJC	SAN	0.23
11296	SAN	TUS	0.213
11297	TUS	SJC	0.33
11299	TUS	SEA	0.653
11300	SEA	GEG	0.167
11301	GEG	SLC	0.273
11302	SLC	TUS	0.291
11340	TUS	DFW	0.366
11341	DFW	DCA	0.622
11342	DCA	DFW	0.622
11343	DFW	TUS	0.366
11345	TUS	DFW	0.366
11346	DFW	TUS	0.366
11348	TUS	DFW	0.366
11349	DFW	TUS	0.366
11351	TUS	ATL	0.939
11352	ATL	PFN	0.175
11353	PFN	ATL	0.175
11354	ATL	TUS	0.939
11356	PDX	PHX	0.47
11357	PHX	TUS	0.13
11358	TUS	PHX	0.13
11359	PHX	PDX	0.47
11361	PDX	PHX	0.47
11362	PHX	TUS	0.13
11363	TUS	PHX	0.13
11364	PHX	PDX	0.47
11366	PHX	TUS	0.13
11367	TUS	PHX	0.13
11368	PHX	STL	0.7
11369	STL	MCI	0.175
11370	MCI	PHX	0.499
11372	PHX	TUS	0.13
11373	TUS	PHX	0.13
11374	PHX	PDX	0.47
11375	PDX	PHX	0.47
11377	STL	MCI	0.175
11399	MEX	DFW	0.401
11400	DFW	TPA	0.394
11401	TPA	DFW	0.394
11402	DFW	TUS	0.366
11404	DFW	TUS	0.366
11405	TUS	DFW	0.366
11407	DFW	TUS	0.366
11408	TUS	DFW	0.366
11410	IAH	DFW	0.163
11411	DFW	TUS	0.366
11413	TUS	LAX	0.241
11414	LAX	TUS	0.241
11416	GEG	SEA	0.167
11418	GEG	SEA	0.167
11420	GEG	SEA	0.167
11422	GEG	SEA	0.167
11424	GEG	SEA	0.167
11426	GEG	SEA	0.167
11428	GEG	SEA	0.167
11430	GEG	SEA	0.167
11432	GEG	SEA	0.167
11434	GEG	SEA	0.167
11436	GEG	SEA	0.167
11438	GEG	SEA	0.167
11440	GEG	SEA	0.167
11442	GEG	SEA	0.167
11444	GEG	SEA	0.167
11446	GEG	SEA	0.167
11448	GEG	SEA	0.167
11450	GEG	SEA	0.167
11452	GEG	SEA	0.167
11454	GEG	SEA	0.167
11456	GEG	SEA	0.167
11458	GEG	SEA	0.167
11460	GEG	SEA	0.167
11462	GEG	SEA	0.167
11464	GEG	SEA	0.167
11480	TUS	SEA	0.653
11481	SEA	GEG	0.167
11483	TUS	SEA	0.653
11484	SEA	GEG	0.167
11486	TUS	SEA	0.653
11487	SEA	GEG	0.167
11489	TUS	ORD	0.849
11490	ORD	DCA	0.294
11491	DCA	DFW	0.622
11492	DFW	TUS	0.366
11494	TUS	ORD	0.849
11495	ORD	DCA	0.294
11496	DCA	DFW	0.622
11497	DFW	TUS	0.366
11499	TUS	ORD	0.849
11500	ORD	DCA	0.294
11501	DCA	DFW	0.622
11502	DFW	TUS	0.366
11504	TUS	ORD	0.849
11505	ORD	DCA	0.294
11506	DCA	DFW	0.622
11507	DFW	TUS	0.366
11509	TUS	ORD	0.849
11510	ORD	DCA	0.294
11511	DCA	DFW	0.622
11512	DFW	TUS	0.366
11514	TUS	ORD	0.849
11515	ORD	DCA	0.294
11516	DCA	DFW	0.622
11517	DFW	TUS	0.366
11519	TUS	ORD	0.849
11520	ORD	DCA	0.294
11521	DCA	DFW	0.622
11522	DFW	TUS	0.366
11524	TUS	ORD	0.849
11525	ORD	DCA	0.294
11526	DCA	DFW	0.622
11527	DFW	TUS	0.366
11529	DCA	DFW	0.622
11530	DFW	TUS	0.366
11531	TUS	ORD	0.849
11532	ORD	DCA	0.294
11534	TUS	DFW	0.366
11535	DFW	DCA	0.622
11536	DCA	TUS	1.2
11538	TUS	DFW	0.366
11539	DFW	DCA	0.622
11540	DCA	TUS	1.2
11542	TUS	DFW	0.366
11543	DFW	DCA	0.622
11544	DCA	TUS	1.2
11546	TUS	DFW	0.366
11547	DFW	DCA	0.622
11548	DCA	TUS	1.2
11550	OGG	ITO	0.134
11552	OGG	ITO	0.134
11554	TUS	DFW	0.366
11555	DFW	DCA	0.622
11556	DCA	TUS	1.2
11558	TUS	ORD	0.849
11559	ORD	DCA	0.294
11560	DCA	DFW	0.622
11561	DFW	TUS	0.366
11563	TUS	ORD	0.849
11564	ORD	DCA	0.294
11565	DCA	DFW	0.622
11566	DFW	TUS	0.366
11568	TUS	ORD	0.849
11569	ORD	DCA	0.294
11570	DCA	DFW	0.622
11571	DFW	TUS	0.366
11573	TUS	ORD	0.849
11574	ORD	DCA	0.294
11575	DCA	DFW	0.622
11576	DFW	TUS	0.366
11578	TUS	ORD	0.849
11579	ORD	DCA	0.294
11580	DCA	DFW	0.622
11581	DFW	TUS	0.366
11583	TUS	ORD	0.849
11584	ORD	DCA	0.294
11585	DCA	DFW	0.622
11586	DFW	TUS	0.366
11588	TUS	ORD	0.849
11589	ORD	DCA	0.294
11590	DCA	DFW	0.622
11591	DFW	TUS	0.366
11593	TUS	ORD	0.849
11594	ORD	DCA	0.294
11595	DCA	DFW	0.622
11596	DFW	TUS	0.366
11598	TUS	ORD	0.849
11599	ORD	DCA	0.294
11600	DCA	DFW	0.622
11601	DFW	TUS	0.366
11603	TUS	ORD	0.849
11604	ORD	DCA	0.294
11605	DCA	DFW	0.622
11606	DFW	TUS	0.366
11626	TUS	LAS	0.213
11627	LAS	TUS	0.213
11629	TUS	LAS	0.213
11630	LAS	TUS	0.213
11632	ONT	LAS	0.158
11633	LAS	TUS	0.213
11635	TUS	SEA	0.653
11636	SEA	GEG	0.167
11638	TUS	SEA	0.653
11639	SEA	GEG	0.167
11641	TUS	SEA	0.653
11642	SEA	GEG	0.167
11644	OGG	ITO	0.134
11646	OGG	ITO	0.134
11648	OGG	ITO	0.134
11650	OGG	ITO	0.134
11652	OGG	ITO	0.134
11654	OGG	ITO	0.134
11656	OGG	ITO	0.134
11658	OGG	ITO	0.134
11660	OGG	ITO	0.134
11662	PHX	TUS	0.13
11663	TUS	CLT	1
11664	CLT	CMH	0.207
11665	CMH	PHX	1
11667	TUS	PHX	0.13
11668	PHX	DFW	0.384
11669	DFW	TUS	0.366
11671	TUS	PHX	0.13
11672	PHX	MSP	0.707
11673	MSP	PHX	0.707
11674	PHX	TUS	0.13
11676	TUS	PHX	0.13
11677	PHX	ONT	0.199
11679	TUS	DFW	0.366
11680	DFW	MCO	0.43
11681	MCO	DFW	0.43
11682	DFW	TUS	0.366
11684	TUS	MCO	1.1
11685	MCO	DFW	0.43
11686	DFW	TUS	0.366
11688	TUS	MCO	1.1
11689	MCO	DFW	0.43
11690	DFW	TUS	0.366
11692	TUS	MCO	1.1
11693	MCO	DFW	0.43
11694	DFW	TUS	0.366
11696	TUS	MCO	1.1
11697	MCO	DFW	0.43
11698	DFW	TUS	0.366
11700	TUS	MCO	1.1
11701	MCO	DFW	0.43
11702	DFW	TUS	0.366
11704	TUS	MCO	1.1
11705	MCO	DFW	0.43
11706	DFW	TUS	0.366
11708	TUS	MCO	1.1
11709	MCO	DFW	0.43
11710	DFW	TUS	0.366
11712	TUS	MCO	1.1
11713	MCO	DFW	0.43
11714	DFW	TUS	0.366
11734	RNO	LAS	0.206
11735	LAS	TUS	0.213
11736	TUS	LAS	0.213
11737	LAS	RNO	0.206
11739	PHX	OKC	0.367
11740	OKC	PHX	0.367
11742	TUS	ORD	0.849
11743	ORD	DCA	0.294
11744	DCA	DFW	0.622
11745	DFW	TUS	0.366
11747	TUS	ORD	0.849
11748	ORD	DCA	0.294
11749	DCA	DFW	0.622
11750	DFW	TUS	0.366
11752	TUS	ORD	0.849
11753	ORD	DCA	0.294
11754	DCA	DFW	0.622
11755	DFW	TUS	0.366
11757	TUS	DFW	0.366
11758	DFW	DCA	0.622
11759	DCA	TUS	1.2
11761	TUS	DFW	0.366
11762	DFW	DCA	0.622
11763	DCA	TUS	1.2
11765	TUS	DFW	0.366
11766	DFW	DCA	0.622
11767	DCA	TUS	1.2
11769	DFW	DCA	0.622
11770	DCA	TUS	1.2
11771	TUS	DFW	0.366
11773	TUS	ORD	0.849
11774	ORD	DCA	0.294
11775	DCA	DFW	0.622
11776	DFW	TUS	0.366
11778	TUS	ORD	0.849
11779	ORD	DCA	0.294
11780	DCA	DFW	0.622
11781	DFW	TUS	0.366
11783	TUS	ORD	0.849
11784	ORD	DCA	0.294
11785	DCA	DFW	0.622
11786	DFW	TUS	0.366
11788	TUS	ORD	0.849
11789	ORD	DCA	0.294
11790	DCA	DFW	0.622
11791	DFW	TUS	0.366
11793	ORD	DCA	0.294
11794	DCA	DFW	0.622
11795	DFW	TUS	0.366
11796	TUS	ORD	0.849
11798	TUS	ORD	0.849
11799	ORD	DCA	0.294
11800	DCA	DFW	0.622
11801	DFW	TUS	0.366
11803	TUS	DFW	0.366
11804	DFW	DCA	0.622
11805	DCA	TUS	1.2
11807	TUS	DFW	0.366
11808	DFW	DCA	0.622
11809	DCA	TUS	1.2
11811	TUS	DFW	0.366
11812	DFW	DCA	0.622
11813	DCA	TUS	1.2
11815	TUS	ORD	0.849
11816	ORD	DCA	0.294
11817	DCA	DFW	0.622
11818	DFW	TUS	0.366
11820	TUS	ORD	0.849
11821	ORD	DCA	0.294
11822	DCA	DFW	0.622
11823	DFW	TUS	0.366
11825	TUS	ORD	0.849
11826	ORD	DCA	0.294
11827	DCA	DFW	0.622
11828	DFW	TUS	0.366
11830	TUS	ORD	0.849
11831	ORD	DCA	0.294
11832	DCA	DFW	0.622
11833	DFW	TUS	0.366
11835	TUS	ORD	0.849
11836	ORD	DCA	0.294
11837	DCA	DFW	0.622
11838	DFW	TUS	0.366
11840	TUS	ORD	0.849
11841	ORD	DCA	0.294
11842	DCA	DFW	0.622
11843	DFW	TUS	0.366
11845	TUS	ORD	0.849
11846	ORD	DCA	0.294
11847	DCA	DFW	0.622
11848	DFW	TUS	0.366
11850	DFW	TUS	0.366
11851	TUS	ORD	0.849
11852	ORD	DCA	0.294
11853	DCA	DFW	0.622
11855	TUS	ORD	0.849
11856	ORD	DCA	0.294
11857	DCA	DFW	0.622
11858	DFW	TUS	0.366
11862	OGG	ITO	0.134
11864	OGG	ITO	0.134
11866	OGG	ITO	0.134
11868	OGG	ITO	0.134
11870	OGG	ITO	0.134
11872	OGG	ITO	0.134
11874	OGG	ITO	0.134
11876	OGG	ITO	0.134
11878	OGG	ITO	0.134
11880	OGG	ITO	0.134
11882	OGG	ITO	0.134
11884	OGG	ITO	0.134
11886	TUS	ORD	0.849
11887	ORD	DCA	0.294
11888	DCA	DFW	0.622
11889	DFW	TUS	0.366
11891	TUS	ORD	0.849
11892	ORD	DCA	0.294
11893	DCA	DFW	0.622
11894	DFW	TUS	0.366
11896	TUS	ORD	0.849
11897	ORD	DCA	0.294
11898	DCA	DFW	0.622
11899	DFW	TUS	0.366
11901	TUS	ORD	0.849
11902	ORD	DCA	0.294
11903	DCA	DFW	0.622
11904	DFW	TUS	0.366
11906	TUS	ORD	0.849
11907	ORD	DCA	0.294
11908	DCA	DFW	0.622
11909	DFW	TUS	0.366
11911	TUS	ORD	0.849
11912	ORD	DCA	0.294
11913	DCA	DFW	0.622
11914	DFW	TUS	0.366
11916	TUS	ORD	0.849
11917	ORD	DCA	0.294
11918	DCA	DFW	0.622
11919	DFW	TUS	0.366
11921	TUS	ORD	0.849
11922	ORD	DCA	0.294
11923	DCA	DFW	0.622
11924	DFW	TUS	0.366
11926	TUS	DFW	0.366
11927	DFW	IND	0.342
11928	IND	PHX	0.894
11929	PHX	TUS	0.13
11931	TUS	DFW	0.366
11932	DFW	DCA	0.622
11933	DCA	TUS	1.2
11935	TUS	DFW	0.366
11936	DFW	DCA	0.622
11937	DCA	TUS	1.2
11939	TUS	DFW	0.366
11940	DFW	DCA	0.622
11941	DCA	TUS	1.2
11943	DCA	TUS	1.2
11944	TUS	DFW	0.366
11945	DFW	DCA	0.622
11947	TUS	SEA	0.653
11948	SEA	GEG	0.167
11950	TUS	SEA	0.653
11951	SEA	GEG	0.167
11953	TUS	SEA	0.653
11954	SEA	GEG	0.167
11956	TUS	SEA	0.653
11957	SEA	GEG	0.167
11959	TUS	SEA	0.653
11960	SEA	GEG	0.167
11962	TUS	SEA	0.653
11963	SEA	GEG	0.167
11965	TUS	SEA	0.653
11966	SEA	GEG	0.167
11968	TUS	SEA	0.653
11969	SEA	GEG	0.167
11971	TUS	SEA	0.653
11972	SEA	GEG	0.167
11974	TUS	SEA	0.653
11975	SEA	GEG	0.167
11977	TUS	SEA	0.653
11978	SEA	GEG	0.167
11980	TUS	SEA	0.653
11981	SEA	GEG	0.167
11983	TUS	SEA	0.653
11984	SEA	GEG	0.167
11992	HNL	LAX	1.5
11993	LAX	TUS	0.241
11994	TUS	PHX	0.13
11995	PHX	LAX	0.214
11996	LAX	HNL	1.5
11998	SLC	TUS	0.291
11999	TUS	PHX	0.13
12000	PHX	SLC	0.26
12002	ITO	HNL	0.165
12004	ITO	HNL	0.165
12006	ITO	HNL	0.165
12008	ITO	HNL	0.165
12010	ITO	HNL	0.165
12012	ITO	HNL	0.165
12014	ITO	HNL	0.165
12016	ITO	HNL	0.165
12018	ITO	HNL	0.165
12020	ITO	HNL	0.165
12022	ITO	HNL	0.165
12024	ITO	HNL	0.165
12026	ITO	HNL	0.165
12028	ITO	HNL	0.165
12030	ITO	HNL	0.165
12032	ITO	HNL	0.165
12034	ITO	HNL	0.165
12036	ITO	HNL	0.165
12038	ITO	HNL	0.165
12040	ITO	HNL	0.165
12042	ITO	HNL	0.165
12044	ITO	HNL	0.165
12046	ITO	HNL	0.165
12084	TUS	DEN	0.299
12085	DEN	IND	0.449
12086	IND	DEN	0.449
12087	DEN	TUS	0.299
12089	TUS	DEN	0.299
12090	DEN	IND	0.449
12091	IND	DEN	0.449
12092	DEN	TUS	0.299
12094	TUS	SAN	0.213
12095	SAN	TUS	0.213
12097	TUS	SAN	0.213
12098	SAN	TUS	0.213
12100	TUS	SAN	0.213
12101	SAN	TUS	0.213
12103	TUS	SAN	0.213
12104	SAN	TUS	0.213
12106	TUS	SAN	0.213
12107	SAN	TUS	0.213
12109	TUS	SAN	0.213
12110	SAN	TUS	0.213
12112	TUS	SAN	0.213
12113	SAN	TUS	0.213
12115	LAX	TUS	0.241
12116	TUS	LAX	0.241
12118	LAX	TUS	0.241
12119	TUS	LAX	0.241
12121	PHX	TUS	0.13
12122	TUS	CLT	1
12123	CLT	CMH	0.207
12124	CMH	PHX	1
12126	TUS	PHX	0.13
12127	PHX	ONT	0.199
12128	ONT	PHX	0.199
12129	PHX	TUS	0.13
12131	PDX	PHX	0.47
12132	PHX	TUS	0.13
12133	TUS	PHX	0.13
12134	PHX	PDX	0.47
12136	BFL	PHX	0.232
12137	PHX	TUS	0.13
12138	TUS	PHX	0.13
12139	PHX	BFL	0.232
12141	TUS	PHX	0.13
12142	PHX	RDU	1.1
12143	RDU	PHX	1.1
12144	PHX	TUS	0.13
12146	TUS	PHX	0.13
12147	PHX	RDU	1.1
12148	RDU	PHX	1.1
12149	PHX	TUS	0.13
12151	TUS	PHX	0.13
12152	PHX	RDU	1.1
12153	RDU	PHX	1.1
12154	PHX	TUS	0.13
12156	LAX	TUS	0.241
12158	TUS	DFW	0.366
12159	DFW	TUS	0.366
12161	TUS	SLC	0.291
12162	SLC	BOI	0.189
12163	BOI	LWS	0.159
12165	PFN	ATL	0.175
12166	ATL	TUS	0.939
12167	TUS	ATL	0.939
12168	ATL	PFN	0.175
12170	TUS	LAX	0.241
12171	LAX	TUS	0.241
12173	TUS	LAS	0.213
12174	LAS	SNA	0.168
12176	TUS	SEA	0.653
12177	SEA	TUS	0.653
12193	ORD	DFW	0.357
12194	DFW	TUS	0.366
12196	TUL	DFW	0.173
12197	DFW	TUS	0.366
12201	TUL	DFW	0.173
12202	DFW	TUS	0.366
12204	TUS	DFW	0.366
12205	DFW	MSP	0.377
12206	MSP	DFW	0.377
12207	DFW	TUS	0.366
12209	TUS	SLC	0.291
12211	TUS	SLC	0.291
12212	SLC	PDX	0.3
12213	PDX	PHX	0.47
12214	PHX	TUS	0.13
12216	TUS	SLC	0.291
12217	SLC	PDX	0.3
12218	PDX	PHX	0.47
12219	PHX	TUS	0.13
12231	SLC	DEN	0.218
12232	DEN	TUS	0.299
12236	YUL	ORD	0.338
12237	ORD	TUS	0.849
12238	TUS	DFW	0.366
12239	DFW	YUL	0.911
12241	DFW	TUS	0.366
12242	TUS	DFW	0.366
12244	YYZ	DFW	0.634
12245	DFW	TUS	0.366
12246	TUS	DFW	0.366
12247	DFW	YYZ	0.634
12249	TUS	SLC	0.291
12250	SLC	EUG	0.296
12274	LAX	TUS	0.241
12275	TUS	LAX	0.241
12277	TUS	LAX	0.241
12278	LAX	TUS	0.241
12280	CMH	PHX	1
12281	PHX	TUS	0.13
12282	TUS	CLT	1
12283	CLT	CMH	0.207
12285	PDX	PHX	0.47
12286	PHX	TUS	0.13
12287	TUS	PHX	0.13
12288	PHX	PDX	0.47
12290	CMH	PHX	1
12291	PHX	TUS	0.13
12292	TUS	CLT	1
12293	CLT	CMH	0.207
12295	SEA	PHX	0.556
12296	PHX	TUS	0.13
12297	TUS	PHX	0.13
12298	PHX	SEA	0.556
12300	ORD	PHX	0.851
12301	PHX	TUS	0.13
12302	TUS	PHX	0.13
12303	PHX	ORD	0.851
12310	LAX	TUS	0.241
12312	TUS	DFW	0.366
12313	DFW	RSW	0.46
12315	TUS	DFW	0.366
12316	DFW	BNA	0.297
12317	BNA	DFW	0.297
12318	DFW	TUS	0.366
12320	TUS	IAH	0.404
12321	IAH	BNA	0.309
12322	BNA	DFW	0.297
12323	DFW	TUS	0.366
12325	TUS	PHX	0.13
12326	PHX	LAS	0.177
12330	TUS	LAX	0.241
12331	LAX	TUS	0.241
12333	TUS	MDW	0.851
12334	MDW	TUS	0.851
12336	LAS	TUS	0.213
12358	TUS	DFW	0.366
12359	DFW	PIA	0.314
12360	PIA	DFW	0.314
12361	DFW	TUS	0.366
12363	TUS	ATL	0.939
12364	ATL	AGS	0.141
12365	AGS	ATL	0.141
12366	ATL	TUS	0.939
12368	TUS	ATL	0.939
12369	ATL	MCO	0.226
12370	MCO	ATL	0.226
12371	ATL	TUS	0.939
12373	TUS	PHX	0.13
12374	PHX	MSP	0.707
12375	MSP	PHX	0.707
12376	PHX	TUS	0.13
12378	TUS	LAS	0.213
12379	LAS	OAK	0.226
12380	OAK	TUS	0.339
12394	ASA	RFD	3.2
12398	TUS	DFW	0.366
12399	DFW	PIA	0.314
12400	PIA	DFW	0.314
12401	DFW	TUS	0.366
12403	TUS	BNA	0.827
12404	BNA	DFW	0.297
12405	DFW	TUS	0.366
12407	TUS	BNA	0.827
12408	BNA	DFW	0.297
12409	DFW	TUS	0.366
12411	TUS	BNA	0.827
12412	BNA	DFW	0.297
12413	DFW	TUS	0.366
12415	TUS	BNA	0.827
12416	BNA	DFW	0.297
12417	DFW	TUS	0.366
12419	TUS	BNA	0.827
12420	BNA	DFW	0.297
12421	DFW	TUS	0.366
12423	TUS	BNA	0.827
12424	BNA	DFW	0.297
12425	DFW	TUS	0.366
12427	TUS	BNA	0.827
12428	BNA	DFW	0.297
12429	DFW	TUS	0.366
12431	TUS	BNA	0.827
12432	BNA	DFW	0.297
12433	DFW	TUS	0.366
12435	TUS	BNA	0.827
12436	BNA	DFW	0.297
12437	DFW	TUS	0.366
12439	TUS	BNA	0.827
12440	BNA	DFW	0.297
12441	DFW	TUS	0.366
12443	TUS	BNA	0.827
12444	BNA	DFW	0.297
12445	DFW	TUS	0.366
12447	TUS	BNA	0.827
12448	BNA	DFW	0.297
12449	DFW	TUS	0.366
12451	TUS	BNA	0.827
12452	BNA	DFW	0.297
12453	DFW	TUS	0.366
12455	TUS	BNA	0.827
12456	BNA	DFW	0.297
12457	DFW	TUS	0.366
12459	TUS	BNA	0.827
12460	BNA	DFW	0.297
12461	DFW	TUS	0.366
12463	TUS	BNA	0.827
12464	BNA	DFW	0.297
12465	DFW	TUS	0.366
12467	TUS	DFW	0.366
12468	DFW	PIA	0.314
12469	PIA	DFW	0.314
12470	DFW	TUS	0.366
12472	TUS	DFW	0.366
12473	DFW	AUS	0.152
12474	AUS	DFW	0.152
12475	DFW	TUS	0.366
12477	TUS	BNA	0.827
12478	BNA	DFW	0.297
12479	DFW	TUS	0.366
12481	TUS	BNA	0.827
12482	BNA	DFW	0.297
12483	DFW	TUS	0.366
12485	TUS	BNA	0.827
12486	BNA	DFW	0.297
12487	DFW	TUS	0.366
12489	TUS	BNA	0.827
12490	BNA	DFW	0.297
12491	DFW	TUS	0.366
12493	TUS	BNA	0.827
12494	BNA	DFW	0.297
12495	DFW	TUS	0.366
12497	TUS	BNA	0.827
12498	BNA	DFW	0.297
12499	DFW	TUS	0.366
12533	DAL	ABQ	0.283
12534	ABQ	TUS	0.199
12536	PHX	LAS	0.177
12537	LAS	PHX	0.177
12539	TUS	LAS	0.213
12540	LAS	SNA	0.168
12542	SJC	LAX	0.194
12543	LAX	TUS	0.241
12545	TUS	ABQ	0.199
12546	ABQ	MCO	0.948
12547	MCO	DEN	0.95
12548	DEN	LAX	0.373
12550	TUS	LAS	0.213
12551	LAS	AUS	0.536
12553	TUS	LAX	0.241
12554	LAX	TUS	0.241
12556	TUS	LAX	0.241
12557	LAX	SJC	0.194
12559	ONT	PHX	0.199
12560	PHX	TUS	0.13
12561	TUS	PHX	0.13
12562	PHX	ONT	0.199
12564	TUS	PHX	0.13
12565	PHX	SNA	0.204
12566	SNA	PHX	0.204
12567	PHX	TUS	0.13
12569	SNA	PHX	0.204
12570	PHX	TUS	0.13
12572	AUS	PHX	0.379
12573	PHX	TUS	0.13
12575	SLC	TUS	0.291
12583	DEN	TUS	0.299
12584	TUS	PHX	0.13
12585	PHX	DEN	0.287
12587	YVR	PHX	0.665
12588	PHX	TUS	0.13
12589	TUS	PHX	0.13
12590	PHX	YVR	0.665
12606	TUS	SAN	0.213
12607	SAN	TUS	0.213
12609	SAN	TUS	0.213
12611	TUS	LAX	0.241
12612	LAX	TUS	0.241
12614	TUS	LAX	0.241
12615	LAX	HNL	1.5
12617	TUS	LAX	0.241
12618	LAX	PDX	0.368
12619	PDX	LAX	0.368
12620	LAX	TUS	0.241
12622	ONT	PHX	0.199
12623	PHX	TUS	0.13
12624	TUS	PHX	0.13
12625	PHX	ONT	0.199
12627	SAT	TUS	0.344
12628	TUS	SAT	0.344
12630	TUS	PHX	0.13
12631	PHX	ICT	0.38
12632	ICT	PHX	0.38
12633	PHX	TUS	0.13
12635	PHX	SLC	0.26
12637	TUS	DEN	0.299
12638	DEN	PDX	0.446
12644	TUS	PHX	0.13
12645	PHX	ONT	0.199
12647	TUS	LAX	0.241
12648	LAX	TUS	0.241
12650	TUS	LAS	0.213
12651	LAS	TUS	0.213
12653	TUS	LAX	0.241
12654	LAX	TUS	0.241
12656	TUS	LAX	0.241
12657	LAX	TUS	0.241
12659	LAX	TUS	0.241
12679	MCO	DFW	0.43
