SORT	ORIG	DEST	CO2_Emissions(tons_per_passenger)
498	HMO	TUS	0.162
506	TUS	DFW	0.366
507	DFW	LRD	0.223
509	DFW	LRD	0.223
510	LRD	DFW	0.223
511	DFW	TUS	0.366
512	TUS	DFW	0.366
514	TUS	DFW	0.366
515	DFW	LRD	0.223
516	LRD	DFW	0.223
517	DFW	TUS	0.366
519	TUS	IAH	0.404
520	IAH	TUS	0.404
524	TUS	ATL	0.939
525	ATL	CDG	2.5
526	CDG	CAI	1.2
527	CAI	CDG	1.2
528	CDG	SEA	2.9
529	SEA	TUS	0.653
531	BUR	LAS	0.166
532	LAS	TUS	0.213
536	TUS	DEN	0.299
537	DEN	MUC	3.1
538	MUC	WAW	0.252
539	WAW	MUC	0.252
540	MUC	DEN	3.1
541	DEN	TUS	0.299
543	TUS	SAN	0.213
544	SAN	TUS	0.213
546	TUS	SAN	0.213
547	SAN	TUS	0.213
549	TUS	SAN	0.213
550	SAN	TUS	0.213
552	TUS	PHX	0.13
553	PHX	SAN	0.192
554	SAN	PHX	0.192
555	PHX	TUS	0.13
557	TUS	ATL	0.939
558	ATL	ZRH	2.7
559	ZRH	ATL	2.7
560	ATL	TUS	0.939
562	LGA	DFW	0.797
563	DFW	SAN	0.625
564	SAN	DFW	0.625
565	DFW	LGA	0.797
567	SFO	BOS	1.6
568	BOS	SFO	1.6
570	TUS	DFW	0.366
571	DFW	PHL	0.721
572	PHL	DFW	0.721
573	DFW	TUS	0.366
577	TUS	DFW	0.366
578	DFW	CLT	0.398
579	CLT	DFW	0.398
580	DFW	TUS	0.366
582	TUS	CLT	1
583	CLT	TUS	1
587	TUS	LAS	0.213
588	LAS	TUS	0.213
590	SEA	LAX	0.422
591	LAX	TUS	0.241
592	TUS	SEA	0.653
596	TUS	LAS	0.213
597	LAS	TUS	0.213
601	CDG	IAH	2.9
602	IAH	TUS	0.404
603	TUS	IAH	0.404
604	IAH	CDG	2.9
605	CDG	NCE	0.235
606	NCE	CDG	0.235
608	CDG	EWR	2.1
609	EWR	CLE	0.226
610	CLE	IAH	0.543
611	IAH	TUS	0.404
612	TUS	IAH	0.404
613	IAH	CDG	2.9
614	CDG	NCE	0.235
615	NCE	CDG	0.235
617	PHX	SBA	0.242
618	SBA	PHX	0.242
622	TUS	ATL	0.939
623	ATL	BWI	0.282
624	BWI	ATL	0.282
625	ATL	TUS	0.939
627	TUS	SLC	0.291
628	SLC	TUS	0.291
630	TUS	SLC	0.291
631	SLC	TUS	0.291
635	YVR	PHL	1.4
636	PHL	RDU	0.205
637	RDU	MSP	0.454
638	MSP	YVR	0.845
640	TUS	DEN	0.299
641	DEN	MUC	3.1
642	MUC	ATH	0.407
643	ATH	KBP	0.4
644	FRA	DEN	2.9
645	DEN	TUS	0.299
647	SKP	VIE	0.257
648	VIE	KBP	0.314
650	YVR	PHX	0.665
651	PHX	TUS	0.13
655	TUS	ATL	0.939
656	ATL	TUS	0.939
660	PHX	IND	0.894
661	IND	PHX	0.894
665	TUS	MSP	0.726
666	MSP	IND	0.258
667	IND	MSP	0.258
668	MSP	TUS	0.726
670	TUS	MSP	0.726
671	MSP	IND	0.258
672	IND	MSP	0.258
673	MSP	TUS	0.726
677	IAH	TUS	0.404
678	TUS	IAH	0.404
680	TUS	SAN	0.213
681	SAN	TUS	0.213
683	TUS	SAN	0.213
684	SAN	TUS	0.213
686	TUS	LAS	0.213
687	LAS	TUS	0.213
689	TUS	LAS	0.213
690	LAS	TUS	0.213
694	TUS	IAH	0.404
695	IAH	TUS	0.404
697	TUS	LAX	0.241
698	LAX	HNL	1.5
699	HNL	LAX	1.5
700	LAX	TUS	0.241
702	TUS	IAH	0.404
703	IAH	EWR	0.815
704	EWR	TXL	2.3
705	TXL	TUS	3.4
707	TUS	LAX	0.241
708	LAX	SJC	0.194
709	SJC	PHX	0.296
710	PHX	TUS	0.13
714	PHX	IAH	0.47
715	IAH	CLL	0.118
717	PHX	IAH	0.47
718	IAH	CLL	0.118
722	TUS	LAX	0.241
723	LAX	OAK	0.204
724	OAK	TUS	0.339
726	TUS	LAX	0.241
727	LAX	OAK	0.204
728	OAK	TUS	0.339
730	TUS	LAX	0.241
731	LAX	OAK	0.204
732	OAK	TUS	0.339
734	DEN	BNA	0.48
735	BNA	DEN	0.48
736	DEN	TUS	0.299
737	TUS	DEN	0.299
741	TUS	MSP	0.726
742	MSP	MKE	0.191
743	MKE	MSP	0.191
744	MSP	TUS	0.726
746	TUS	DFW	0.366
747	DFW	AUS	0.152
748	AUS	DFW	0.152
749	DFW	TUS	0.366
751	TUS	LAS	0.213
